IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_ModalitaAttivazione_MODALITA_2;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;DettaglioOfferta_Contatti_URL_OFFERTA;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;CondizioniContrattuali_3_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_3_DESCRIZIONE;CondizioniContrattuali_3_LIMITANTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_ModalitaAttivazione_MODALITA;MetodoPagamento_MODALITA_PAGAMENTO;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE;DettaglioOfferta_OFFERTA_SINGOLA;ZoneOfferta_REGIONE_0;ZoneOfferta_REGIONE_1;ZoneOfferta_REGIONE_2;ZoneOfferta_REGIONE_3;ZoneOfferta_REGIONE_4;ZoneOfferta_REGIONE_5;ZoneOfferta_REGIONE_6;ZoneOfferta_REGIONE_7;ZoneOfferta_REGIONE_8;ZoneOfferta_REGIONE_9;ZoneOfferta_REGIONE_10;ZoneOfferta_REGIONE_11;ZoneOfferta_REGIONE_12
06289781004;001714DSFML01XXENPMS000010000000;03;01;01;01;Energia PuntoFisso MONO;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;26/07/2023_00:00:00;08/08/2023_23:59:00;001714ESFML01XXENPMS000010000000;001714GSFML01XXENPMS000010000000;;;;;;;;;;;;;;;03;01;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL07XXAGICS000070000000;03;01;02;01;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;12;12/07/2023_00:00:00;12/09/2023_23:59:00;001714ESVFL07XXAGICS000070000000;001714GSVML07XXAGICS000070000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DSVFL07XXPFLES000070000000;03;02;02;01;eFLEX;L'offerta di ENGIE per la luce e gas della tua attività che ti garantisce un prezzo sempre in linea con il mercato;-1;NESSUNA GARANZIA;;;;;800901199;https://imprese.engie.it/professionisti-commercianti;https://imprese.engie.it/professionisti-commercianti;12;12/07/2023_00:00:00;12/09/2023_23:59:00;001714ESVFL07XXPFLES000070000000;001714GSVML07XXPFLES000070000000;02;01;;;;;;;;;;;;;;02;;04;Offerta Pluriennale;02;04;;;;;;;;;;;;;;;;
06289781004;001714DPFFL27XXOMBRP000270000000;03;02;01;01;PRODOTTO OMBRELLO PIVA;PRODOTTO OMBRELLO PIVA;-1;NESSUNA GARANZIA;;;;;800901199;https://imprese.engie.it/professionisti-commercianti;https://imprese.engie.it/professionisti-commercianti;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL27XXOMBRP000270000000;001714GPFML27XXOMBRP000270000000;04;02;;;;;;;;;;;;;;02;;04;Offerta Pluriennale;02;01;;;;;;;;;;;;;;;;
06289781004;001714DPFFL06XXOMB12000060000000;03;01;01;01;PRODOTTO OMBRELLO;PRODOTTO OMBRELLO;-1;NESSUNA GARANZIA;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL06XXOMB12000060000000;001714GPFML06XXOMB12000060000000;04;02;;;;;;;;;;;;;03;02;;04;Offerta Pluriennale;02;01;;;;;;;;;;;;;;;;
06289781004;001714DPVFL10XXSDDEX000100000000;03;01;02;01;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;12;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPVFL10XXSDDEX000100000000;001714GPVML10XXSDDEX000100000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DPFFL32XXE3L12000320000000;03;01;01;01;Energia 3.0 Light;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPFFL32XXE3L12000320000000;001714GPFML32XXE3L12000320000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DPVFL14XXVARDF000140000000;03;01;02;01;Benvenuto in ENGIE;Benvenuto in ENGIE;-1;NESSUNA GARANZIA;;;;;800901199;https://casa.engie.it;https://casa.engie.it;12;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPVFL14XXVARDF000140000000;001714GPVML14XXVARDF000140000000;01;02;;;;;;;;;;;;;03;02;;04;Offerta Pluriennale;02;04;;;;;;;;;;;;;;;;
06289781004;001714DPFFL04XXE3P12000040000000;03;01;01;01;ENGIE Green People;Ti sei ricordato di portare a casa la nostra energia?;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL04XXE3P12000040000000;001714GPFML04XXE3P12000040000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DPFFL47XXE3PLR000470000000;03;01;01;01;ENGIE Green People;Ti sei ricordato di portare a casa la nostra energia?;-1;Domiciliazione obbligatoria;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL47XXE3PLR000470000000;001714GPFML47XXE3PLR000470000000;;;;;;;;;;;;;;;03;02;01;04;Offerta Pluriennale;02;;;;;;;;;;;;;;;;;
06289781004;001714DPFFL07XXOMB36000070000000;03;01;01;01;PRODOTTO OMBRELLO;PRODOTTO OMBRELLO;-1;NESSUNA GARANZIA;;;;;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL07XXOMB36000070000000;001714GPFML07XXOMB36000070000000;04;02;;;;;;;;;;;;;03;02;;04;Offerta Pluriennale;02;01;;;;;;;;;;;;;;;;
12874490159;000390DS00L01XXDS002374000000000;03;01;02;99;Next Energy Sunlight;Offerta DUAL che prevede la stipula contemporanea delle due offerte Next Energy Sunlight Luce e Gas;12;Pagamento con SDD o Carta di Credito Ricorrente, in caso di pagamento con altra modalità , possibilità  di richiesta del deposito cauzionale, calcolato ai sensi del TIV;;;;;800294333;www.sorgenia.it;;12;28/07/2023_00:00:00;24/08/2023_00:00:00;000390DSVFL01XXES002374010000000;000390DSVML01XXGS002371010000000;01;02;;;;;;;;;;;;;03;01;;04;Offerta a prezzo indicizzato;02;03;99;Paypal;;;;;;;;;;;;;;
13149000153;000652DSFFL07XX_VVPLANDFIX070723;03;01;01;01;VIVIplan Fix Lucegas;L'offerta "VIVIplan Fix LuceGas" garantisce un prezzo luce e gas bloccato per dodici mesi e uno sconto percentuale su quota fissa per entrambi i punti di fornitura, crescente tra i primi sei mesi e gli ultimi sei del primo anno di fornitura. La fatturazione è a consumo costante, così programmi la tua spesa energetica in anticipo senza pensieri. Inoltre, hai un prezzo diverso per il giorno, per la sera e per la notte, ed in più rispetti l'ambiente grazie all'energia verde 100% da fonti rinnovabili.;12;L'offerta non prevede deposito cauzionale in caso di cambio fornitore.;;;;Offerta attivabile da Store.;800151313;https://www.vivienergia.it/;https://www.vivienergia.it;;07/07/2023_00:00:00;07/08/2023_23:59:59;000652ESFFL07XX_VVPLANDFIX070723;000652GSFML07XX_VVPLANDFIX070723;01;04;;;;;;;;;;;;;03;03;;01;Valido solo per switch.;02;;;;NO;08;06;12;07;03;11;01;09;04;10;02;05;16
13149000153;000652DSVFL08XX_VVX2MKDFT_070723;03;01;02;01;VIVIX2 Market Lucegas;L'offerta "VIVIX2 Market Lucegas", destinata ai clienti finali domestici, garantisce un prezzo della materia prima differenziato a PSV Day-Ahead per il gas e il PUN su tre fasce per la luce, aggiornato mensilmente secondo il mercato. Ed in più rispetti l'ambiente grazie all'energia verde 100% da fonti rinnovabili. Prodotto destinato all'operazione Porta un Amico.;12;L'offerta non prevede deposito cauzionale in caso di cambio fornitore.;01;03;;Offerta attivabile da web e store.;800151313;https://www.vivienergia.it/;https://www.vivienergia.it;14;07/07/2023_00:00:00;07/08/2023_23:59:59;000652ESVFL08XX_VVX2MKDFT_070723;000652GSVML08XX_VVX2MKDFT_070723;;;;;;;;;;;;;;;03;;01;01;Valido solo per switch.;02;;;;NO;08;06;12;07;03;11;01;09;04;10;02;05;16
13149000153;000652DSVFL19XX_VVWEBMARDF210723;03;01;02;01;VIVIweb Market Lucegas;L'offerta "VIVIweb Market Lucegas", destinata ai clienti finali domestici, garantisce un prezzo della materia prima differenziato a PSV Day-Ahead per il gas e il PUN su tre fasce per la luce, aggiornato mensilmente secondo il mercato. Ed in più rispetti l'ambiente grazie all'energia verde 100% da fonti rinnovabili.;12;L'offerta non prevede deposito cauzionale in caso di cambio fornitore.;;;;Offerta attivabile da web.;800151313;https://www.vivienergia.it/;https://www.vivienergia.it;14;21/07/2023_00:00:00;07/08/2023_23:59:59;000652ESVFL19XX_VVWEBMARDF210723;000652GSVML19XX_VVWEBMARDF210723;;;;;;;;;;;;;;;03;01;01;01;Valido solo per switch.;02;;;;NO;08;06;12;07;03;11;01;09;04;10;02;05;16
13149000153;000652DSVFL08XX_VIVIPLAND_070723;03;01;02;01;VIVIplan Lucegas;L'offerta "VIVIplan LuceGas" garantisce un prezzo sempre aggiornato, con il costo della materia prima che cambia ogni mese secondo gli indici PSV e PUN, sconto percentuale su quota fissa per entrambi i punti di fornitura, crescente tra il primo e il secondo anno e fatturazione a consumo costante. Inoltre, hai un prezzo diverso per il giorno, per la sera e per la notte, ed in più rispetti l'ambiente grazie all'energia verde 100% da fonti rinnovabili.;24;L'offerta non prevede deposito cauzionale in caso di cambio fornitore.;;;;Offerta attivabile da Store.;800151313;https://www.vivienergia.it/;https://www.vivienergia.it;14;07/07/2023_00:00:00;07/08/2023_23:59:59;000652ESVFL08XX_VIVIPLAND_070723;000652GSVML08XX_VIVIPLAND_070723;;;;;;;;;;;;;;;03;03;01;01;Valido solo per switch.;02;;;;NO;08;06;12;07;03;11;01;09;04;10;02;05;16
