IdentificativiOfferta_PIVA_UTENTE;IdentificativiOfferta_COD_OFFERTA;DettaglioOfferta_TIPO_MERCATO;DettaglioOfferta_TIPO_CLIENTE;DettaglioOfferta_DOMESTICO_RESIDENTE;DettaglioOfferta_TIPO_OFFERTA;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_0;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_1;DettaglioOfferta_TIPOLOGIA_ATT_CONTR_2;DettaglioOfferta_NOME_OFFERTA;DettaglioOfferta_DESCRIZIONE;DettaglioOfferta_DURATA;DettaglioOfferta_GARANZIE;DettaglioOfferta_ModalitaAttivazione_MODALITA;DettaglioOfferta_Contatti_TELEFONO;DettaglioOfferta_Contatti_URL_SITO_VENDITORE;DettaglioOfferta_Contatti_URL_OFFERTA;RiferimentiPrezzoEnergia_IDX_PREZZO_ENERGIA;ValiditaOfferta_DATA_INIZIO;ValiditaOfferta_DATA_FINE;OffertaDual_OFFERTE_CONGIUNTE_EE;OffertaDual_OFFERTE_CONGIUNTE_GAS;MetodoPagamento_0_MODALITA_PAGAMENTO;MetodoPagamento_1_MODALITA_PAGAMENTO;MetodoPagamento_1_DESCRIZIONE;MetodoPagamento_2_MODALITA_PAGAMENTO;MetodoPagamento_3_MODALITA_PAGAMENTO;CondizioniContrattuali_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_DESCRIZIONE;CondizioniContrattuali_LIMITANTE;Sconto_NOME;Sconto_DESCRIZIONE;Sconto_VALIDITA;Sconto_IVA_SCONTO;Sconto_Condizione_CONDIZIONE_APPLICAZIONE;Sconto_Condizione_DESCRIZIONE_CONDIZIONE;Sconto_PrezziSconto_TIPOLOGIA;Sconto_PrezziSconto_UNITA_MISURA;Sconto_PrezziSconto_PREZZO;DettaglioOfferta_TIPOLOGIA_ATT_CONTR;DettaglioOfferta_ModalitaAttivazione_MODALITA_0;DettaglioOfferta_ModalitaAttivazione_MODALITA_1;DettaglioOfferta_ModalitaAttivazione_MODALITA_2;DettaglioOfferta_ModalitaAttivazione_DESCRIZIONE;CondizioniContrattuali_0_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_0_DESCRIZIONE;CondizioniContrattuali_0_LIMITANTE;CondizioniContrattuali_1_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_1_DESCRIZIONE;CondizioniContrattuali_1_LIMITANTE;CondizioniContrattuali_2_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_2_DESCRIZIONE;CondizioniContrattuali_2_LIMITANTE;CondizioniContrattuali_3_TIPOLOGIA_CONDIZIONE;CondizioniContrattuali_3_DESCRIZIONE;CondizioniContrattuali_3_LIMITANTE;MetodoPagamento_MODALITA_PAGAMENTO;MetodoPagamento_3_DESCRIZIONE
06289781004;001714DPFFL60XXOMBRA000600000000;03;01;03;01;;;;PRODOTTO OMBRELLO;PRODOTTO OMBRELLO;-1;NESSUNA GARANZIA;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL60XXOMBRA000600000000;001714GPFML60XXOMBRA000600000000;04;02;;01;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;;
06289781004;001714DPFML32XXE3M12000320000000;03;01;03;01;;;;Energia 3.0 Light MONO;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPFML32XXE3M12000320000000;001714GPFML32XXE3M12000320000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DSVFL07XXAGICS000070000000;03;01;03;02;;;;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;12;12/07/2023_00:00:00;12/09/2023_23:59:00;001714ESVFL07XXAGICS000070000000;001714GSVML07XXAGICS000070000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DPFFL70XXEN3P0000700000000;03;01;03;01;;;;Energia 3.0;Prezzo conveniente, spesa pianificata, no maxi conguaglio;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPFFL70XXEN3P0000700000000;001714GPFML70XXEN3P0000700000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DSFML01XXENPMS000010000000;03;01;03;01;;;;Energia PuntoFisso MONO;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;01;800901199;https://casa.engie.it;https://casa.engie.it;;26/07/2023_00:00:00;08/08/2023_23:59:00;001714ESFML01XXENPMS000010000000;001714GSFML01XXENPMS000010000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DSFFL01XXENPFS000010000000;03;01;03;01;;;;Energia PuntoFisso;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;01;800901199;https://casa.engie.it;https://casa.engie.it;;26/07/2023_00:00:00;08/08/2023_23:59:00;001714ESFFL01XXENPFS000010000000;001714GSFML01XXENPFS000010000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DNVFL10XXD2DEX000100000000;03;01;03;02;;;;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;12;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPVFL10XXD2DEX000100000000;001714GPVML10XXD2DEX000100000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DSVFL07XXPFLES000070000000;03;02;;02;;;;eFLEX;L'offerta di ENGIE per la luce e gas della tua attività che ti garantisce un prezzo sempre in linea con il mercato;-1;NESSUNA GARANZIA;02;800901199;https://imprese.engie.it/professionisti-commercianti;https://imprese.engie.it/professionisti-commercianti;12;12/07/2023_00:00:00;12/09/2023_23:59:00;001714ESVFL07XXPFLES000070000000;001714GSVML07XXPFLES000070000000;02;01;;04;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;;
06289781004;001714DPFFL27XXOMBRP000270000000;03;02;;01;;;;PRODOTTO OMBRELLO PIVA;PRODOTTO OMBRELLO PIVA;-1;NESSUNA GARANZIA;02;800901199;https://imprese.engie.it/professionisti-commercianti;https://imprese.engie.it/professionisti-commercianti;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL27XXOMBRP000270000000;001714GPFML27XXOMBRP000270000000;04;02;;01;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;;
06289781004;001714DPFFL06XXOMB12000060000000;03;01;03;01;;;;PRODOTTO OMBRELLO;PRODOTTO OMBRELLO;-1;NESSUNA GARANZIA;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;30/11/2023_00:00:00;001714EPFFL06XXOMB12000060000000;001714GPFML06XXOMB12000060000000;04;02;;01;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;;
06289781004;001714DPVFL10XXSDDEX000100000000;03;01;03;02;;;;Energia Agile;Energia Agile;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;12;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPVFL10XXSDDEX000100000000;001714GPVML10XXSDDEX000100000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DPFFL32XXE3L12000320000000;03;01;03;01;;;;Energia 3.0 Light;Il prezzo più conveniente di ENGIE solo per i clienti web;-1;Domiciliazione obbligatoria;02;800901199;https://casa.engie.it;https://casa.engie.it;;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPFFL32XXE3L12000320000000;001714GPFML32XXE3L12000320000000;;;;;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;01;
06289781004;001714DPVFL14XXVARDF000140000000;03;01;03;02;;;;Benvenuto in ENGIE;Benvenuto in ENGIE;-1;NESSUNA GARANZIA;02;800901199;https://casa.engie.it;https://casa.engie.it;12;20/07/2023_00:00:00;15/10/2023_00:00:00;001714EPVFL14XXVARDF000140000000;001714GPVML14XXVARDF000140000000;01;02;;04;;04;Offerta Pluriennale;02;;;;;;;;;;01;;;;;;;;;;;;;;;;;;
12874490159;000390DS00L01XXDS002374000000000;03;01;03;02;;;;Next Energy Sunlight;Offerta DUAL che prevede la stipula contemporanea delle due offerte Next Energy Sunlight Luce e Gas;12;Pagamento con SDD o Carta di Credito Ricorrente, in caso di pagamento con altra modalità , possibilità  di richiesta del deposito cauzionale, calcolato ai sensi del TIV;01;800294333;www.sorgenia.it;;12;28/07/2023_00:00:00;24/08/2023_00:00:00;000390DSVFL01XXES002374010000000;000390DSVML01XXGS002371010000000;01;02;;03;99;04;Offerta a prezzo indicizzato;02;;;;;;;;;;99;;;;;;;;;;;;;;;;;;Paypal
